epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3677.31,0.65864,0.83219,0.97371,0.31713,0.27154,0.2806,0.23977,0.81137,2.4999,1.07629,9.4224e-05,9.4224e-05,9.4224e-05
42,3766.5,0.62576,0.79196,0.95971,0.30545,0.26871,0.2345,0.2023,0.80168,2.47907,1.06566,9.26796e-05,9.26796e-05,9.26796e-05
43,3856.82,0.63676,0.7704,0.95586,0.3935,0.24423,0.24696,0.20555,0.82807,2.53445,1.08781,9.11352e-05,9.11352e-05,9.11352e-05
44,3946.42,0.63689,0.75856,0.96333,0.45484,0.28007,0.27926,0.23938,0.85082,2.44149,1.15635,8.95908e-05,8.95908e-05,8.95908e-05
45,4035.8,0.62284,0.74912,0.95947,0.3441,0.30967,0.25328,0.22151,0.81093,2.54473,1.10298,8.80464e-05,8.80464e-05,8.80464e-05
46,4125.22,0.62701,0.7479,0.95635,0.34672,0.24844,0.2742,0.22881,0.84503,2.42064,1.11302,8.6502e-05,8.6502e-05,8.6502e-05
47,4214.61,0.60165,0.69996,0.94231,0.32031,0.27746,0.25509,0.20813,0.83524,2.65464,1.12532,8.49576e-05,8.49576e-05,8.49576e-05
48,4304.64,0.61617,0.72707,0.95871,0.2824,0.29612,0.2426,0.20211,0.8156,2.63134,1.09871,8.34132e-05,8.34132e-05,8.34132e-05
49,4393.77,0.61784,0.6933,0.95792,0.29546,0.26739,0.26149,0.22255,0.80863,2.40289,1.07674,8.18688e-05,8.18688e-05,8.18688e-05
50,4483.63,0.60695,0.68441,0.95243,0.33832,0.31259,0.30549,0.26567,0.83343,2.48812,1.10465,8.03244e-05,8.03244e-05,8.03244e-05
51,4573.32,0.60097,0.67164,0.93715,0.31708,0.26799,0.27666,0.23464,0.81281,2.40061,1.08544,7.878e-05,7.878e-05,7.878e-05
