epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7438,1.24771,5.38201,1.20272,0.01359,0.14181,0.01674,0.01455,1.11878,4.64622,1.02951,5.16533e-05,5.16533e-05,5.16533e-05
2,45.6985,1.1643,4.96396,1.12477,0.01025,0.42472,0.02797,0.02342,1.186,4.15732,1.06596,0.000102627,0.000102627,0.000102627
3,67.4523,1.2359,4.64651,1.16311,0.54178,0.04834,0.04921,0.04318,1.2162,3.82983,1.09019,0.000152571,0.000152571,0.000152571
4,88.9505,1.24369,4.32805,1.15555,0.49791,0.08302,0.05176,0.04269,1.20836,3.60103,1.07925,0.000151367,0.000151367,0.000151367
5,109.96,1.23649,4.13841,1.15531,0.37315,0.12219,0.06464,0.05498,1.23329,3.44428,1.13461,0.000149822,0.000149822,0.000149822
6,131.246,1.21813,3.93727,1.14669,0.47682,0.08586,0.0744,0.06216,1.21455,3.24852,1.10911,0.000148278,0.000148278,0.000148278
7,152.268,1.20594,3.76995,1.14651,0.41651,0.11713,0.08947,0.07419,1.23013,3.22331,1.10259,0.000146734,0.000146734,0.000146734
8,173.607,1.15974,3.70109,1.12164,0.38644,0.13515,0.10835,0.08952,1.21193,3.12653,1.11108,0.000145189,0.000145189,0.000145189
9,194.402,1.14699,3.58576,1.10685,0.38605,0.13506,0.09661,0.07819,1.19869,3.09849,1.12295,0.000143645,0.000143645,0.000143645
10,215.552,1.17318,3.50272,1.11664,0.34349,0.14247,0.08705,0.06996,1.1691,2.99606,1.08116,0.0001421,0.0001421,0.0001421
11,237.205,1.1257,3.47314,1.10009,0.46428,0.10915,0.09091,0.07329,1.14864,2.95951,1.07988,0.000140556,0.000140556,0.000140556
12,258.456,1.12903,3.36517,1.09358,0.42484,0.12938,0.10252,0.08208,1.18235,3,1.10368,0.000139012,0.000139012,0.000139012
13,279.414,1.15318,3.33531,1.1102,0.41591,0.12901,0.11963,0.10019,1.14992,2.90024,1.07458,0.000137467,0.000137467,0.000137467
14,300.494,1.14895,3.29563,1.11034,0.47689,0.13169,0.12574,0.10215,1.15346,2.92248,1.09287,0.000135923,0.000135923,0.000135923
15,323.104,1.10785,3.16211,1.07471,0.39683,0.13193,0.12707,0.10192,1.12819,2.88427,1.06701,0.000134378,0.000134378,0.000134378
16,345.653,1.08215,3.13582,1.08813,0.43586,0.15172,0.12296,0.10169,1.11354,2.86516,1.07399,0.000132834,0.000132834,0.000132834
17,366.87,1.10232,3.06668,1.07743,0.34794,0.16132,0.1417,0.11944,1.10604,2.84044,1.06499,0.00013129,0.00013129,0.00013129
18,388.371,1.07738,3.03475,1.05928,0.37137,0.20123,0.13822,0.11369,1.11634,2.7948,1.07556,0.000129745,0.000129745,0.000129745
19,409.702,1.04492,2.99323,1.06837,0.33251,0.18818,0.14017,0.11455,1.10896,2.75722,1.06515,0.000128201,0.000128201,0.000128201
20,430.857,1.09491,2.95666,1.06899,0.37461,0.14696,0.15165,0.12703,1.10024,2.76739,1.05667,0.000126656,0.000126656,0.000126656
21,452.226,1.08153,2.92131,1.07341,0.38075,0.16545,0.11836,0.09583,1.10177,2.75962,1.06899,0.000125112,0.000125112,0.000125112
22,473.153,1.07959,2.87748,1.05765,0.39643,0.16464,0.14012,0.11398,1.10616,2.79273,1.06344,0.000123568,0.000123568,0.000123568
23,494.157,1.05191,2.84487,1.05412,0.40975,0.19935,0.1765,0.14864,1.07186,2.67602,1.03628,0.000122023,0.000122023,0.000122023
24,514.887,1.04379,2.79923,1.05428,0.33964,0.1787,0.13159,0.10559,1.08522,2.81986,1.05061,0.000120479,0.000120479,0.000120479
25,535.861,1.04643,2.75308,1.04774,0.34446,0.20849,0.14381,0.11783,1.09404,2.77302,1.05994,0.000118934,0.000118934,0.000118934
26,557.6,1.04025,2.72692,1.03736,0.33192,0.15614,0.13804,0.11207,1.06842,2.72321,1.03446,0.00011739,0.00011739,0.00011739
27,579.603,1.06132,2.68988,1.05351,0.31507,0.19725,0.13301,0.10266,1.11063,2.70292,1.06882,0.000115846,0.000115846,0.000115846
28,600.697,1.04761,2.68974,1.04582,0.34966,0.19725,0.13583,0.10859,1.09926,2.7473,1.05673,0.000114301,0.000114301,0.000114301
29,621.88,1.02861,2.63012,1.04235,0.40046,0.19032,0.13386,0.10578,1.08038,2.6983,1.042,0.000112757,0.000112757,0.000112757
30,643.507,1.02319,2.59007,1.04041,0.33124,0.21137,0.15798,0.12919,1.07502,2.70264,1.04729,0.000111212,0.000111212,0.000111212
31,664.592,1.01698,2.55233,1.03939,0.31571,0.21755,0.15181,0.12418,1.08005,2.71257,1.04126,0.000109668,0.000109668,0.000109668
32,685.631,1.0325,2.51377,1.04499,0.31664,0.20821,0.15992,0.128,1.10299,2.71378,1.05663,0.000108124,0.000108124,0.000108124
33,706.827,1.00495,2.49048,1.03033,0.40313,0.2101,0.18418,0.15218,1.09548,2.67269,1.04266,0.000106579,0.000106579,0.000106579
34,727.5,0.99155,2.41969,1.02923,0.40982,0.21578,0.19408,0.16261,1.07681,2.65686,1.04938,0.000105035,0.000105035,0.000105035
35,748.127,1.02812,2.45927,1.04403,0.43403,0.17713,0.16288,0.13376,1.11426,2.69986,1.07558,0.00010349,0.00010349,0.00010349
36,769.462,1.0099,2.42996,1.03578,0.31634,0.23294,0.17073,0.14269,1.07594,2.68697,1.04157,0.000101946,0.000101946,0.000101946
37,790.549,0.99687,2.35306,1.02314,0.31996,0.19663,0.18143,0.15076,1.07164,2.74988,1.04796,0.000100402,0.000100402,0.000100402
38,812.732,0.98348,2.3431,1.02478,0.33864,0.21481,0.18765,0.15439,1.10025,2.75977,1.07632,9.88572e-05,9.88572e-05,9.88572e-05
39,833.585,1.01003,2.35443,1.02427,0.32748,0.24188,0.1913,0.16155,1.06818,2.69178,1.04464,9.73128e-05,9.73128e-05,9.73128e-05
40,854.454,0.99371,2.2667,1.01588,0.39504,0.21715,0.16365,0.13201,1.04511,2.71167,1.03233,9.57684e-05,9.57684e-05,9.57684e-05
41,875.461,0.96903,2.25128,1.01446,0.30859,0.23521,0.18039,0.14762,1.06044,2.71505,1.05022,9.4224e-05,9.4224e-05,9.4224e-05
42,897.255,0.9862,2.23355,1.01182,0.41432,0.19447,0.18074,0.14688,1.06821,2.72389,1.05525,9.26796e-05,9.26796e-05,9.26796e-05
43,918.683,0.98922,2.24388,1.01131,0.3139,0.18447,0.17275,0.14386,1.08286,2.70132,1.05234,9.11352e-05,9.11352e-05,9.11352e-05
44,939.695,0.94736,2.13758,1.005,0.36262,0.1801,0.16296,0.13,1.09949,2.70395,1.05922,8.95908e-05,8.95908e-05,8.95908e-05
45,960.7,0.98421,2.17479,1.00897,0.32222,0.21445,0.17605,0.13917,1.09481,2.68685,1.07003,8.80464e-05,8.80464e-05,8.80464e-05
