epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1624.76,0.93998,2.38087,1.0372,0.40349,0.17513,0.19576,0.1673,1.00867,2.67496,1.09583,0.000143336,0.000143336,0.000143336
43,1663.67,0.96227,2.42194,1.03808,0.66082,0.13151,0.19231,0.15832,1.04434,2.78296,1.12898,0.000143027,0.000143027,0.000143027
44,1703.12,0.96805,2.39027,1.0451,0.42895,0.17055,0.19338,0.15087,1.0402,2.73365,1.11037,0.000142718,0.000142718,0.000142718
45,1742.42,0.95555,2.36142,1.04424,0.36281,0.17992,0.19836,0.16309,1.00807,2.67766,1.09072,0.000142409,0.000142409,0.000142409
46,1780.81,0.96512,2.36381,1.05069,0.36442,0.20907,0.1803,0.15242,1.00124,2.77119,1.09319,0.0001421,0.0001421,0.0001421
47,1820.61,0.92911,2.29664,1.02263,0.41548,0.19145,0.1566,0.13084,1.01142,2.76407,1.09979,0.000141792,0.000141792,0.000141792
48,1859.27,0.94585,2.30665,1.03829,0.4642,0.20191,0.19035,0.15877,0.998,2.62323,1.08818,0.000141483,0.000141483,0.000141483
49,1898.08,0.9633,2.26105,1.04809,0.52032,0.15728,0.1649,0.13804,0.98702,2.70563,1.0806,0.000141174,0.000141174,0.000141174
50,1937.08,0.94101,2.30951,1.03544,0.45191,0.187,0.1797,0.1481,1.00578,2.77062,1.09049,0.000140865,0.000140865,0.000140865
51,1974.29,0.94354,2.24064,1.02817,0.4852,0.2068,0.18024,0.1501,1.01074,2.70352,1.07628,0.000140556,0.000140556,0.000140556
52,2011.52,0.92728,2.20093,1.02718,0.46355,0.19607,0.18003,0.14994,1.00705,2.70608,1.0844,0.000140247,0.000140247,0.000140247
53,2048.72,0.93763,2.16516,1.03593,0.56469,0.1522,0.17764,0.15044,1.01284,2.67073,1.08711,0.000139938,0.000139938,0.000139938
